"E8012001","E8012002","E8012003","E8012004","E8012005","E8012006","E8012007","E8012008","E8012009","E8012010","E8012011","E8012012","R0000100","R0536300","R0536401","R0536402","R1235800","R1482600"
0,0,0,0,0,0,0,0,0,0,0,0,84,2,2,1984,1,2
0,0,0,0,0,0,0,0,0,0,0,0,85,1,2,1984,1,4
0,0,0,0,0,0,0,0,0,0,0,0,86,2,10,1980,1,4
0,0,0,0,0,0,0,0,0,0,0,0,87,1,5,1984,1,2
0,0,0,0,0,0,0,0,0,0,0,0,88,1,1,1981,1,4
0,0,0,0,0,0,0,0,0,0,0,0,89,1,11,1981,1,4
99,99,99,99,99,99,99,99,99,99,99,99,90,1,11,1981,1,2
0,0,0,0,0,0,0,0,0,0,0,0,91,2,9,1982,1,2
0,0,0,0,0,0,0,0,0,0,0,0,92,1,4,1983,1,4
0,0,0,0,0,0,0,0,0,0,0,0,93,1,9,1983,1,2
0,0,0,0,0,0,0,0,0,0,0,0,94,2,9,1980,1,1
0,0,0,0,0,0,0,0,0,0,0,0,95,1,7,1982,1,2
0,0,0,0,0,0,0,0,0,0,0,0,96,1,7,1982,1,4
0,0,0,0,0,0,0,0,0,0,0,0,97,1,6,1980,1,2
0,0,0,0,0,0,0,0,0,0,0,0,98,1,1,1980,1,4
0,0,0,0,0,0,0,0,0,0,0,0,99,1,6,1982,1,2
0,0,0,0,0,0,0,0,0,0,0,0,100,2,1,1981,1,1
0,0,0,0,0,0,0,0,0,0,0,0,101,2,7,1981,1,1
0,0,0,0,0,0,0,0,0,0,0,0,102,2,4,1982,1,2
0,0,0,0,0,0,0,0,0,0,0,0,103,2,11,1983,1,2
0,0,0,0,0,0,0,0,0,0,0,0,104,2,11,1980,1,4
0,0,0,0,0,0,0,0,0,0,0,0,105,1,8,1983,1,4
0,0,0,0,0,0,0,0,0,0,0,0,106,1,11,1981,1,4
0,0,0,0,0,0,0,0,0,0,0,0,107,2,8,1982,1,4
0,0,0,0,0,0,0,0,0,0,0,0,108,1,9,1984,1,4
0,0,0,0,0,0,0,0,0,0,0,0,109,2,3,1982,1,4
0,0,0,0,0,0,0,0,0,0,0,0,110,2,2,1984,1,4
0,0,0,0,0,0,0,0,0,0,0,0,111,2,1,1981,1,4
0,0,0,0,0,0,0,0,0,0,0,0,112,2,4,1984,1,4
99,99,99,99,99,99,99,99,99,99,99,99,113,1,4,1984,1,4
0,0,0,0,0,0,0,0,0,0,0,0,114,2,7,1982,1,4
0,0,0,0,0,0,0,0,0,0,0,0,115,2,10,1984,1,2
0,0,0,0,0,0,0,0,0,0,0,0,116,1,10,1984,1,1
0,0,0,0,0,0,0,0,0,0,0,0,117,1,10,1984,1,1
99,99,99,99,99,99,99,99,99,99,99,99,118,1,6,1980,1,4
0,0,0,0,0,0,0,0,0,0,0,0,119,1,9,1982,1,4
0,0,0,0,0,0,0,0,0,0,0,0,120,1,6,1982,1,4
0,0,0,0,0,0,0,0,0,0,0,0,121,1,12,1981,1,4
0,0,0,0,0,0,0,0,0,0,0,0,122,1,6,1984,1,4
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,123,1,2,1980,1,4
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,124,1,2,1982,1,4
0,0,0,0,0,0,0,0,0,0,0,0,125,2,5,1984,1,4
99,99,99,99,99,99,99,1,99,99,99,99,126,1,5,1981,1,4
0,0,0,0,0,0,0,0,0,0,0,0,127,2,3,1982,1,4
0,0,0,0,0,0,0,0,0,0,0,0,128,2,8,1982,1,4
0,0,0,0,0,0,0,0,0,0,0,0,129,2,8,1980,1,4
0,0,0,0,0,0,0,0,0,0,0,0,130,2,7,1981,1,4
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,131,1,10,1980,1,4
0,0,0,0,0,0,0,0,0,0,0,0,132,1,2,1983,1,4
0,0,0,0,0,0,0,0,0,0,0,0,133,1,7,1982,1,4
0,0,0,0,0,0,0,0,0,0,0,0,134,1,4,1984,1,4
0,0,0,0,0,0,0,0,0,0,0,0,135,1,4,1981,1,4
0,0,0,0,0,0,0,0,0,0,0,0,136,2,9,1983,1,4
0,0,0,0,0,0,0,0,0,0,0,0,137,2,5,1980,1,4
0,0,0,0,0,0,0,0,0,0,0,0,138,1,4,1984,1,4
0,0,0,0,0,0,0,0,0,0,0,0,139,2,7,1984,1,4
0,0,0,0,0,0,0,0,0,0,0,0,140,1,12,1983,1,2
0,0,0,0,0,0,0,0,0,0,0,0,141,2,1,1980,1,4
